State,,Total Population,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Median Income (dollars)
Nevada,Moved; from different  state,4,4.3,4.9,4,3.5,3.4,4,4.2,4.3,39235
Nevada,Moved; from abroad,0.9,1.2,1.1,0.5,0.7,0.7,0.5,0.2,0.4,27039
New Hampshire,Total,1199031,135330,68932,113234,114959,151317,148487,64958,314733,46608
New Hampshire,Moved; within same county,4.5,5.6,6.2,4,7.1,5.1,5,3.7,2.6,35831
New Hampshire,"Moved; from different county, same state",2.1,2.9,1.9,2.8,2.4,1.9,2.8,1.5,1.8,41136
New Hampshire,Moved; from different  state,3,4.1,3.4,3.7,2.7,2.5,2.7,2.2,2.9,40749
New Hampshire,Moved; from abroad,0.4,0.5,0.2,0.2,0.3,0.2,0.1,0.3,0.3,38233
New Jersey,Total,7646402,794242,439327,705807,650431,841092,711919,377096,2170260,47792
New Jersey,Moved; within same county,4.1,3.8,4.6,4.2,4.9,4.7,4.1,4.2,3.5,43345
New Jersey,"Moved; from different county, same state",2.5,3.1,2.5,2.3,2.3,2,2.9,2.9,2.4,48870
New Jersey,Moved; from different  state,1.8,1.6,1.7,2.1,1.6,1.6,1.8,1.8,2.1,52355
New Jersey,Moved; from abroad,1,1.8,1,1,0.6,0.5,0.5,0.5,0.4,21141
New Mexico,Total,1750707,225112,144615,220983,197691,208333,161597,74114,284031,32842
New Mexico,Moved; within same county,5.7,6.5,5.7,6.6,7.8,5.4,5.1,4.4,4.3,27980
New Mexico,"Moved; from different county, same state",2.1,2.7,2.9,2.1,1.8,1.7,1.7,1.7,1.3,24549
New Mexico,Moved; from different  state,3.1,3.2,2.4,2.6,3.1,3.9,3.3,2.9,2.9,35621
New Mexico,Moved; from abroad,0.6,1,0.5,0.3,0.4,0.6,0.4,0.3,0.4,28340
New York,Total,16321357,1949325,1090059,1589670,1439452,1849157,1528358,775653,3979216,42128
New York,Moved; within same county,4.8,5.2,4.4,4.9,5.2,4.9,4.7,4.4,4.5,40968
New York,"Moved; from different county, same state",2.6,3.9,2.4,2.2,2.1,2.4,2.4,2.3,2.3,37310
New York,Moved; from different  state,1.7,2.7,1.2,1.3,1.5,1.5,1.6,1.7,1.7,41385
New York,Moved; from abroad,0.9,1.7,0.8,0.6,0.7,0.3,0.5,0.5,0.5,21745
North Carolina,Total,8940919,1008657,623387,1050232,954520,1225866,922755,402019,1673867,37780
North Carolina,Moved; within same county,5.3,5.5,5,5.8,5.4,6.3,5.3,5.6,4.8,36909
North Carolina,"Moved; from different county, same state",3.8,5.9,4.3,3.1,3.4,3.6,3.4,2.8,2.8,32069
North Carolina,Moved; from different  state,3.2,3.9,2.1,3.4,3.4,3,3.3,3.1,3.6,38584
North Carolina,Moved; from abroad,0.6,0.9,0.6,0.5,0.5,0.3,0.3,0.5,0.3,25232
North Dakota,Total,633643,72022,44083,66757,63447,88208,81682,37848,135508,42297
North Dakota,Moved; within same county,8.2,6.7,11.9,7.5,15.7,8.2,7.4,6.4,6,33995
North Dakota,"Moved; from different county, same state",3.1,4.5,3.8,5.1,3.7,2.8,1.9,4.2,1.6,28283
