State,Moved,Population 1 year and over,1 to 4 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median age (years)
Oregon,Moved; from different  state,3,2.7,1.8,7.5,5.2,2.9,1.9,2.4,1.6,1.5,31.1
Oregon,Moved; from abroad,0.6,0.9,0.5,1.2,1,0.6,0.5,0.2,0.2,0.5,30.6
Pennsylvania,Total,12829324,530980,1961290,1166048,1651405,1660159,1524092,1737396,1510584,1087370,41.5
Pennsylvania,Moved; within same county,5.5,6.9,5.1,10.6,10.3,5.3,4.1,2.8,2.4,3.3,29.7
Pennsylvania,"Moved; from different county, same state",2.7,2.5,1.6,8.8,5.1,2.4,1.4,1.3,0.9,1.2,27.3
Pennsylvania,Moved; from different  state,1.9,1.9,1.1,5.9,3.5,1.6,1.1,0.9,0.8,0.7,27.6
Pennsylvania,Moved; from abroad,0.6,0.5,0.6,1.1,0.9,0.8,0.4,0.2,0.3,0.3,32.1
Rhode Island,Total,1086909,43665,150539,106212,153786,142930,126538,150863,123761,88615,41.1
Rhode Island,Moved; within same county,5.4,7.1,6.8,8.4,8.5,5.5,4.4,3.1,2.4,3,30
Rhode Island,"Moved; from different county, same state",1.8,3.5,1.4,4.7,3,1.3,0.9,1.1,0.4,1.2,27.1
Rhode Island,Moved; from different  state,2.9,1.8,0.9,8.8,6.4,2,1.6,1.6,1.6,1.2,28.8
Rhode Island,Moved; from abroad,0.8,1.9,0.5,0.9,2.3,1,0.3,0.1,0.2,0.2,30.9
South Carolina,Total,5319249,231524,856408,485923,677457,688903,637492,703448,621496,416598,40.9
South Carolina,Moved; within same county,5.1,6.2,4.9,10.1,8.3,5,4.2,3,2.6,3.3,29.7
South Carolina,"Moved; from different county, same state",3,3.7,2.1,8.5,5.5,2.9,1.9,1.2,1.1,1.4,27
South Carolina,Moved; from different  state,3.8,3.5,2.6,10.8,5.6,3.4,2.5,2.8,2.6,1.9,28.7
South Carolina,Moved; from abroad,0.5,0.5,0.3,0.7,0.9,0.6,0.5,0.4,0.2,0.4,34.6
South Dakota,Total,907196,42764,163921,84994,114987,118255,98654,114035,103558,66028,38.9
South Dakota,Moved; within same county,4.8,6.4,2.5,10,9.4,5.5,3,2.7,2.5,4.1,30
South Dakota,"Moved; from different county, same state",3.1,4.1,1.4,10.1,5.7,3,1.8,1.5,1,2,27
South Dakota,Moved; from different  state,3.3,3.5,2.5,8.8,3.5,4.3,2.7,2.5,1.6,1.1,29.7
South Dakota,Moved; from abroad,0.2,0.1,0.1,0.5,0.6,0.4,0.2,0.1,0.1,0.2,33.2
Tennessee,Total,7046744,331287,1152328,631162,978478,935375,869841,901677,749345,497251,39.6
Tennessee,Moved; within same county,6,8.3,5.4,12.6,10.4,5.6,4.1,3,2.8,2.9,28.6
Tennessee,"Moved; from different county, same state",3,3.9,2.5,7,5.3,2.8,2.4,1.6,1.1,1.3,28.9
Tennessee,Moved; from different  state,2.9,3.8,2,6.5,4.5,2.7,2.3,2.3,1.5,1.1,30.3
Tennessee,Moved; from abroad,0.4,0.6,0.3,0.9,0.8,0.4,0.2,0.1,0.2,0.1,28.1
Texas,Total,30134547,1544837,5626666,2933597,4380452,4351283,3757106,3345616,2548046,1646944,36.3
Texas,Moved; within same county,7.3,9.3,6.7,12.6,12.2,7.3,5.1,4.2,2.9,3.7,28.5
Texas,"Moved; from different county, same state",3.8,3.9,2.5,8.7,6.3,3.9,2.6,2.2,1.6,2,28.7
Texas,Moved; from different  state,2,2.5,1.5,3.7,3.6,2.1,1.4,1.1,1,1.1,29
Texas,Moved; from abroad,0.9,0.8,0.8,1.4,1.5,1,0.7,0.6,0.4,0.4,30.5
Utah,Total,3373801,185948,704024,398810,506590,468194,383876,310610,254612,161137,32.7
Utah,Moved; within same county,7.8,8.8,5.9,17.5,13.4,6,4.3,3,3.4,3.2,25.4
Utah,"Moved; from different county, same state",2.7,2.5,1.2,7.9,4.5,1.9,1.3,1.9,1.1,1.2,25.3
Utah,Moved; from different  state,2.7,2.3,1.5,7.3,4.6,1.8,1.3,1.7,1,1.1,25.3
Utah,Moved; from abroad,0.8,0.6,0.7,2.1,1.1,0.8,0.4,0.5,0.3,0.2,24.6
Vermont,Total,642670,22374,87658,61383,76173,81880,76737,93044,85810,57611,44
Vermont,Moved; within same county,4.4,7.3,3.7,11.3,7.8,3.6,3,1.9,2.3,3.2,27.7
Vermont,"Moved; from different county, same state",2,1,1.2,7.1,3.2,1.3,1.7,1.1,0.7,1.2,28.1
Vermont,Moved; from different  state,4.2,2.8,1.9,17.2,6.8,3.5,2.4,2.1,1.7,1.1,25.4
Vermont,Moved; from abroad,0.3,0,0.2,0.7,0.4,0.2,0.7,0.4,0.2,0,44.5
Virginia,Total,8626985,388031,1395433,806182,1162172,1208026,1065740,1102470,880968,617963,39.6
Virginia,Moved; within same county,4.3,5.7,4.5,7.7,7.3,4.2,3.3,2.3,1.8,2.3,29.1
Virginia,"Moved; from different county, same state",4.8,5.6,3.3,11.3,9.4,5.1,2.9,2.3,1.9,1.7,28.4
Virginia,Moved; from different  state,3.2,3.9,2.2,7.8,6.2,3.1,2.2,1.4,1.2,1.5,28.6
Virginia,Moved; from abroad,0.7,1.1,0.8,1,1.1,0.9,0.4,0.3,0.3,0.2,30
Washington,Total,7727767,332209,1229870,654491,1178336,1141668,933149,918914,802069,537061,38.9
